"","paper_id","sample_country","clean_name","author","title","year","journal","volume","issue","pages","notes"
"732",125,"Canary_Islands","Lupinus angustifolius","Jarabo-Lorenzo et al","Genetic diversity of Bradyrhizobial populations from diverse geograpgic origins that nodulate Lupinus spp. And Ornithopus spp.",2003,"Systematic and Applied Microbiology",26,"","611-623",""
"736",125,"Canary_Islands","Cytisus proliferus","Jarabo-Lorenzo et al","Genetic diversity of Bradyrhizobial populations from diverse geograpgic origins that nodulate Lupinus spp. And Ornithopus spp.",2003,"Systematic and Applied Microbiology",26,"","611-623",""
"737",126,"China","Leucaena leucocephala","Kaiwei et al","Symbiotic efficiency, genetic diversity and phylogeny of the rhizobia isolated from Leucaena Leucocephala iin arid-hot river valley area in panxi, sichuan, china",2011,"",NA,"","",""
"741",127,"England","Genista tinctoria","Kalita and Malek","Phenotypic and genomic characteristics of rhizobia isolated from Genista tinctoria root nodules",2004,"Systematic and Applied Microbiology",27,"","707-715",""
"742",127,"Ukraine","Genista tinctoria","Kalita and Malek","Phenotypic and genomic characteristics of rhizobia isolated from Genista tinctoria root nodules",2004,"Systematic and Applied Microbiology",27,"","707-715",""
"743",127,"Poland","Genista tinctoria","Kalita and Malek","Phenotypic and genomic characteristics of rhizobia isolated from Genista tinctoria root nodules",2004,"Systematic and Applied Microbiology",27,"","707-715",""
"744",128,"China","Medicago lupulina","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"746",128,"China","Oxytropis glabra","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"748",128,"China","Oxytropis ochrocephala","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"749",128,"China","Vicia sativa","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"751",128,"China","Vicia sepium","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"752",128,"China","Vicia villosa","Kan et al","Characterization of symbiotic and endophytic bacteria isolated from root nodules of herbaceous legumes grown in Qinghai-Tibet plateau and in other zones of China",2007,"Archives of Microbiology",188,"","103-115",""
"754",130,"South_Africa","Psoralea aphylla","Kanu and Dakora","Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa",2012,"Soil Biology and Biochemistry",54,"","68-76",""
"755",130,"South_Africa","Psoralea monophylla","Kanu and Dakora","Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa",2012,"Soil Biology and Biochemistry",54,"","68-76",""
"756",130,"South_Africa","Psoralea pinnata","Kanu and Dakora","Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa",2012,"Soil Biology and Biochemistry",54,"","68-76",""
"757",131,"Israel","Zygophyllum dumosum","Kaplan et al","A survey of the microbial community in the rhizosphere of two dominant shrubs of the Negev Desert highlands, Zygophyllum dumosum (Zygophyllaceae) and Atriplex halimus (Amaranthaceae), using cultivation-dependent and cultivation-independent methods",2013,"American Journal of Botany",100,"9","1713-1725",""
"758",137,"Australia","Acacia cangaiensis","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"759",137,"Australia","Acacia dealbata","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"760",137,"Australia","Acacia glaucocarpa","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"761",137,"Australia","Acacia implexa","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"762",137,"Australia","Acacia irrorata","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"763",137,"Australia","Acacia mearnsii","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"764",137,"Australia","Acacia melanoxylon","Lafay and Burdon","Small-subunit rRNA genotyping of rhizobia nodulating australian Acacia spp.",2001,"Applied and Environmental Microbiology",67,"1","396-402",""
"765",139,"Australia","Chamaecrista mimosoides","Lafay and Burdon","Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,"PLoS ONE",2,"3","e277",""
"767",139,"Australia","Indigofera colutea","Lafay and Burdon","Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,"PLoS ONE",2,"3","e277",""
"769",139,"Australia","Indigofera hirsuta","Lafay and Burdon","Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,"PLoS ONE",2,"3","e277",""
"771",139,"Australia","Indigofera linifolia","Lafay and Burdon","Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,"PLoS ONE",2,"3","e277",""
"773",139,"Australia","Neptunia gracilis","Lafay and Burdon","Molecular diversity of legume root-nodule bacteria in Kakadu National Park, Northern Territory, Australia",2007,"PLoS ONE",2,"3","e277",""
"775",143,"India","Indigofera astragalina","Kumari et al","Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,"Malaysian Journal of Microbiology",6,"2","133-139",""
"776",143,"India","Indigofera linnaei","Kumari et al","Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,"Malaysian Journal of Microbiology",6,"2","133-139",""
"777",143,"India","Indigofera parviflora","Kumari et al","Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,"Malaysian Journal of Microbiology",6,"2","133-139",""
"778",143,"India","Indigofera trita","Kumari et al","Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,"Malaysian Journal of Microbiology",6,"2","133-139",""
"779",143,"India","Indigofera colutea","Kumari et al","Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species",2010,"Malaysian Journal of Microbiology",6,"2","133-139",""
"780",144,"Canada","Astragalus alpinus","Laguerre et al","Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,"Applied and Environmental Microbiology",63,"12","4748-4758",""
"782",144,"Canada","Astragalus cicer","Laguerre et al","Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,"Applied and Environmental Microbiology",63,"12","4748-4758",""
"784",144,"United_States","Oxytropis deflexa","Laguerre et al","Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,"Applied and Environmental Microbiology",63,"12","4748-4758",""
"786",144,"Canada","Oxytropis maydelliana","Laguerre et al","Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,"Applied and Environmental Microbiology",63,"12","4748-4758",""
"788",144,"United_States","Oxytropis riparia","Laguerre et al","Genetic diversity of Rhizobial symbionts isolated from legume species within the genera Astragalus, Oxytropis, and Onobrychis",1997,"Applied and Environmental Microbiology",63,"12","4748-4758",""
"790",147,"Pakistan","Trifolium pratense","Latif et al","The diversity of Rhzobia, Sinorhizobia and novel non-Rhizobial Paenilbacillus nodulating wild herbaceous legume",2013,"Archives of Microbiology",195,"","647-653",""
"793",147,"Pakistan","Trifolium repens","Latif et al","The diversity of Rhzobia, Sinorhizobia and novel non-Rhizobial Paenilbacillus nodulating wild herbaceous legume",2013,"Archives of Microbiology",195,"","647-653",""
"795",148,"Malaysia","Acacia auriculiformis","Le Roux et al","Bradyrhizobia nodulating the Acacia mangium x A. auriculiformis interspecific hybrid are specific and differ from those associated with both parental species",2009,"Applied and Environmental Microbiology",75,"24","7752-7759",""
"796",148,"French_Guiana","Acacia mangium","Le Roux et al","Bradyrhizobia nodulating the Acacia mangium x A. auriculiformis interspecific hybrid are specific and differ from those associated with both parental species",2009,"Applied and Environmental Microbiology",75,"24","7752-7759",""
"797",148,"Malaysia","Acacia mangium","Le Roux et al","Bradyrhizobia nodulating the Acacia mangium x A. auriculiformis interspecific hybrid are specific and differ from those associated with both parental species",2009,"Applied and Environmental Microbiology",75,"24","7752-7759",""
"799",149,"Dominica","Pterocarpus officinalis","Le Roux et al","Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana)",2014,"Microbial Ecology",68,"","329-338",""
"800",149,"French_Guiana","Pterocarpus officinalis","Le Roux et al","Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana)",2014,"Microbial Ecology",68,"","329-338",""
"801",149,"Guadeloupe","Pterocarpus officinalis","Le Roux et al","Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana)",2014,"Microbial Ecology",68,"","329-338",""
"802",149,"Martinique","Pterocarpus officinalis","Le Roux et al","Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana)",2014,"Microbial Ecology",68,"","329-338",""
"803",149,"Puerto_Rico","Pterocarpus officinalis","Le Roux et al","Genetic diversity patterns and functional traits of Bradyrhizobium strains associated with Pterocarpus officinalis Jacq. In Caribbean Islands and Amazonian Forest (French Guiana)",2014,"Microbial Ecology",68,"","329-338",""
"804",153,"China","Caragana korshinskii","Li et al","Genetic diversity, community structure and distribution of rhizobia in the root nodules of Caragana spp. From arid and semi-arid alkaline deserts, in the north of china",2012,"Systematic and Applied Microbiology",35,"","239-245",""
"814",154,"Brazil","Macroptilium atropurpureum","Lima et al","Nitrogen-fixing bacteria communities occuring in soils under different uses in the Western Amazon Region as indicated by nodulation of siratro (Macroptilium atropurpureum",2009,"Plant and Soil",319,"","127-145",""
"815",156,"China","Dalbergia hupeana","Lin et al","Rhizobium mesosinicum sp. nov., isolated from root nodules of three different legumes",2009,"International Journal of Systematic and Evolutionary Microbiology",59,"","1919-1923",""
"822",157,"China","Kummerowia stipulacea","Lin et al","Diverse rhizobia that nodulate two species of Kummerowia in China",2007,"Archives of Microbiology",188,"","495-507",""
"826",157,"China","Kummerowia striata","Lin et al","Diverse rhizobia that nodulate two species of Kummerowia in China",2007,"Archives of Microbiology",188,"","495-507",""
"832",158,"China","Cercis racemosa","Liu et al","Diverse rhizobia associated with woody legumes Wisteria sinensis, Cercis racemosa and Amorpha fruticosa grown in the temperate zone of China",2005,"Systematic and Applied Microbiology",28,"","465-477",""
"835",158,"China","Amorpha fruticosa","Liu et al","Diverse rhizobia associated with woody legumes Wisteria sinensis, Cercis racemosa and Amorpha fruticosa grown in the temperate zone of China",2005,"Systematic and Applied Microbiology",28,"","465-477",""
"838",158,"China","Wisteria sinensis","Liu et al","Diverse rhizobia associated with woody legumes Wisteria sinensis, Cercis racemosa and Amorpha fruticosa grown in the temperate zone of China",2005,"Systematic and Applied Microbiology",28,"","465-477",""
"841",159,"China","Crotalaria pallida","Liu et al","Diverse bacteria isolated from root nodules of Trifolium, Crotalaria and Mimosa grown in the sub tropical regiuns of China",2007,"Archives of Microbiology",188,"","14-Jan",""
"843",159,"China","Mimosa pudica","Liu et al","Diverse bacteria isolated from root nodules of Trifolium, Crotalaria and Mimosa grown in the sub tropical regiuns of China",2007,"Archives of Microbiology",188,"","14-Jan",""
"845",159,"China","Trifolium repens","Liu et al","Diverse bacteria isolated from root nodules of Trifolium, Crotalaria and Mimosa grown in the sub tropical regiuns of China",2007,"Archives of Microbiology",188,"","14-Jan",""
"847",160,"China","Mimosa diplotricha","Lui et al","Phylogenetic relationships and diversity of B-rhizobia associated with Mimosa species grown in Shshuangbanna, China",2011,"Interantional Journal of Systematic and Evolutionary Microbiology",61,"","334-342",""
"850",160,"China","Mimosa pudica","Lui et al","Phylogenetic relationships and diversity of B-rhizobia associated with Mimosa species grown in Shshuangbanna, China",2011,"Interantional Journal of Systematic and Evolutionary Microbiology",61,"","334-342",""
"853",162,"New_Zealand","Galega officinalis","Liu et al","Characterisation of rhizobia nodulating Galega officinalis (goat's rue) and Hedysarum coronarium (sulla)",2012,"New Zealand Plant Protection",65,"","192-196",""
"856",162,"New_Zealand","Hedysarum coronarium","Liu et al","Characterisation of rhizobia nodulating Galega officinalis (goat's rue) and Hedysarum coronarium (sulla)",2012,"New Zealand Plant Protection",65,"","192-196",""
"859",163,"Mexico","Acacia angustissima","Lloret et al","Ensifer mexicanus sp. nov. a new species nodulating Acacia angustissima (Mill.) Kuntze in Mexico",2007,"Systematic and Applied Microbiology",30,"","280-290",""
"867",164,"Canary_Islands","Lotus sessilifolius","Lorite et al","Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes",2010,"Systematic and Applied Microbiology",33,"","282-290",""
"870",164,"Canary_Islands","Lotus arinagensis","Lorite et al","Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes",2010,"Systematic and Applied Microbiology",33,"","282-290",""
"874",164,"Canary_Islands","Lotus callis-viridis","Lorite et al","Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes",2010,"Systematic and Applied Microbiology",33,"","282-290",""
"875",164,"Canary_Islands","Lotus kunkelii","Lorite et al","Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes",2010,"Systematic and Applied Microbiology",33,"","282-290",""
"879",165,"Portugal","Lotus pedunculatus","Lorite et al","Phylogenetic relationship of Lotus uliginosus symbionts with bradyrhizobia nodulating genistoid legumes",2012,"Federation of European Microbiological Societies",79,"","454-464",""
"887",167,"China","Caragana bicolor","Lu et al","Mesorhizobium shangrilense sp. nov., isolated from root nodules of Caragana species",2009,"Interantional Journal of Systematic and Evolutionary Microbiology",59,"","3012-3018",""
"894",168,"China","Caragana bicolor","Lu et al","Genetic diversity and biogeography of rhizobia associated with Caragana species in three ecological regions of china",2009,"Systematic and Applied Microbiology",32,"","251-261",""
"899",168,"China","Caragana erinacea","Lu et al","Genetic diversity and biogeography of rhizobia associated with Caragana species in three ecological regions of china",2009,"Systematic and Applied Microbiology",32,"","251-261",""
"904",168,"China","Caragana korshinskii","Lu et al","Genetic diversity and biogeography of rhizobia associated with Caragana species in three ecological regions of china",2009,"Systematic and Applied Microbiology",32,"","251-261",""
"910",170,"China","Caragana korshinskii","Lu et al","Rhizobium alkalisoli sp. nov., isolated from Caragana intermedia growing in saline-alkaline soils in the north of China",2009,"International Journal of Systematic and Evolutionary Microbiology",59,"","3006-3011",""
"914",171,"Tunisia","Retama raetam","Mahdhi et al","Characterization of root-nodulating bacteria on Retema raetam in arid Tunisian soils",2008,"Progress in Natural Sceince",18,"","43-49",""
"917",173,"Australia","Acacia saligna","Marsudi et al","Identification and characterization of fast- and slow-growing root nodule bacteria from South-Western Australian soils able to nodulate Acacia saligna",1999,"Soil Biology and Biochemistry",31,"","1229-1238",""
"918",174,"United_States","Dalea purpurea","Martir et al","The genetic diversity of rhizobia associated with Dalea purpurea Vent. In fragmented grasslands of west-central Minnesota",2007,"Canadian Journal of Microbiology",53,"","351-363",""
"921",176,"Kenya","Faidherbia albida","McInroy et al","Characterization of rhizobia from African acacias and other tropical woody legumes using Biologª and partial 16S rRNA sequencing",1999,"FEMS Microbiology Letters",170,"","111-117",""
"922",177,"Guinea","Mimosa pudica","Melkonian et al","The geographical patterns of symbiont diversity in the invasive legume Mimosa pudica can be explained by the competitiveness of its symbionts and by the host genotype",2013,"Environmental Microbiology",16,"7","2099-2111",""
"923",177,"Australia","Mimosa pudica","Melkonian et al","The geographical patterns of symbiont diversity in the invasive legume Mimosa pudica can be explained by the competitiveness of its symbionts and by the host genotype",2013,"Environmental Microbiology",16,"7","2099-2111",""
"928",179,"French_Guiana","Mimosa pudica","Mishra et al","Genetic diversity of Mimosa pudica rhizobial symbions in soils of French Guiana: investigating the origin of diversity of Burkholderia phymatum and other beta-rhizobia",2012,"FEMS Microbiology Ecology",79,"","487-503",""
"935",180,"Tunisia","Medicago laciniata","Mnasri et al","Symbiotic diversity of Ensifer meliloti strains recovered from various legume species in Tunisia",2009,"Systematic and Applied Microbiology",32,"","583-592",""
"939",180,"Tunisia","Argyrolobium uniflorum","Mnasri et al","Symbiotic diversity of Ensifer meliloti strains recovered from various legume species in Tunisia",2009,"Systematic and Applied Microbiology",32,"","583-592",""
"942",180,"Tunisia","Medicago truncatula","Mnasri et al","Symbiotic diversity of Ensifer meliloti strains recovered from various legume species in Tunisia",2009,"Systematic and Applied Microbiology",32,"","583-592",""
"946",181,"Argentina","Aeschynomene rudis","Montecchia et al","Analysis of genomic diversity among photosynthetic stem-nodulating rhizobial strains from Northeast Argentina",2002,"Systematic and Applied Microbiology",25,"","423-433",""
"951",182,"Uruguay","Lotus corniculatus","Monza et al","Characterization of an indigenous population of Rhizobia nodulating Lotus Corniculatus",1992,"Soil Biology and Biochemistry",24,"3","241-247",""
"952",183,"Brazil","Sesbania virgata","Moreira et al","Azorhizobium doebereinerae sp. Nov. microsymbiont of Sesbania vergata (caz.) pers.",2006,"Systematic and Applied Microbiology",29,"","197-206",""
"954",184,"Canada","Caragana arborescens","Moukoumi et al","Characterization and genus identification of rhizobial symbionts from Caragana arborescens in western Canada",2013,"Canadian Journal of Microbiology",59,"","399-406",""
"957",185,"England","Lathyrus aphaca","Mutch and Young","Diversity and specificity of Rhizobium leguminosarum biovar viciae on wild and cultivated legumes",2004,"Molecular Ecology",13,"","2435-2444",""
"960",185,"England","Lathyrus nissolia","Mutch and Young","Diversity and specificity of Rhizobium leguminosarum biovar viciae on wild and cultivated legumes",2004,"Molecular Ecology",13,"","2435-2444",""
"963",185,"England","Lathyrus pratensis","Mutch and Young","Diversity and specificity of Rhizobium leguminosarum biovar viciae on wild and cultivated legumes",2004,"Molecular Ecology",13,"","2435-2444",""
"966",185,"England","Vicia cracca","Mutch and Young","Diversity and specificity of Rhizobium leguminosarum biovar viciae on wild and cultivated legumes",2004,"Molecular Ecology",13,"","2435-2444",""
"969",185,"England","Vicia sativa","Mutch and Young","Diversity and specificity of Rhizobium leguminosarum biovar viciae on wild and cultivated legumes",2004,"Molecular Ecology",13,"","2435-2444",""
"972",187,"Senegal","Aeschynomene afraspera","Nzoue et al","Multiocus sequence analysis of bradyrhizobia isolated from Aeschynomene species in Senegal",2009,"Systematic and Applied Microbiology",32,"","400-412",""
"983",187,"Senegal","Aeschynomene elaphroxylon","Nzoue et al","Multiocus sequence analysis of bradyrhizobia isolated from Aeschynomene species in Senegal",2009,"Systematic and Applied Microbiology",32,"","400-412",""
"994",187,"Senegal","Aeschynomene indica","Nzoue et al","Multiocus sequence analysis of bradyrhizobia isolated from Aeschynomene species in Senegal",2009,"Systematic and Applied Microbiology",32,"","400-412",""
"1005",187,"Senegal","Aeschynomene sensitiva","Nzoue et al","Multiocus sequence analysis of bradyrhizobia isolated from Aeschynomene species in Senegal",2009,"Systematic and Applied Microbiology",32,"","400-412",""
"1016",188,"India","Abrus precatorius","Ogasawara et al","Sinorhizobium indiaense sp. no. and Sinorhizobium abri sp. nov. isolated from tropical legumes, Sesbania rostrata and Abrus precatorius, respectively",2003,"Symbiosis",34,"","53-68",""
"1017",188,"India","Sesbania rostrata","Ogasawara et al","Sinorhizobium indiaense sp. no. and Sinorhizobium abri sp. nov. isolated from tropical legumes, Sesbania rostrata and Abrus precatorius, respectively",2003,"Symbiosis",34,"","53-68",""
"1018",189,"Morocco","Colutea arborescens","Ourarhi et al","Colutea arborescens is nodulated by diverse rhizobia in Eastern Morocco",2011,"Archives of Microbiology",193,"","115-124",""
"1024",192,"Panama","Tachigali versicolor","Parker","Divergent Bradyrhizobium symbionts on Tachigali versicolor from Barro Colorado Island, Panama",2000,"Systematic and Applied Microbiology",23,"","585-590",""
"1026",193,"Panama","Desmodium axillare","Parker","A widespread neotropical Bradyrhizobium lineage associated with Machaerium and Desmodium (Papilionoideae)",2003,"Plant and Soil",254,"","263-268",""
"1027",193,"Costa_Rica","Desmodium axillare","Parker","A widespread neotropical Bradyrhizobium lineage associated with Machaerium and Desmodium (Papilionoideae)",2003,"Plant and Soil",254,"","263-268",""
"1028",194,"Costa_Rica","Platymiscium pinnatum","Parker","rRNA and dnaK relationships of Bradyrhizobium sp. nodule bacteria from four Papilionoid legume trees in Costa Rica",2004,"Systematic and Applied Microbiology",27,"","334-342",""
"1029",195,"United_States","Amphicarpaea bracteata","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1033",195,"United_States","Baptisia tinctoria","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1037",195,"United_States","Chamaecrista fasciculata","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1041",195,"United_States","Desmodium canadense","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1045",195,"United_States","Desmodium glutinosum","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1049",195,"United_States","Desmodium paniculatum","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1053",195,"United_States","Desmodium rotundifolium","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1057",195,"United_States","Lespedeza capitata","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1061",195,"United_States","Lespedeza hirta","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1065",195,"United_States","Lupinus perennis","Parker and Kennedy","Diversity and relationships of bradyrhizobia from legumes native to eastern North America",2006,"Canadian Journal of Microbiology",52,"","1148-1157",""
"1069",196,"United_States","Amphicarpaea bracteata","Parker et al","Comparative phylogeography of Amphicarpaea legumes and their root-nodule symbionts in Japan and North America",2004,"Journal of Biogeography",31,"","425-434",""
"1070",196,"Japan","Amphicarpaea bracteata","Parker et al","Comparative phylogeography of Amphicarpaea legumes and their root-nodule symbionts in Japan and North America",2004,"Journal of Biogeography",31,"","425-434",""
"1071",197,"United_States","Cytisus scoparius","Parker et al","Growth of an invasive legume is symbiont limited in newly occupied habitats",2006,"Diversity and Distributions",12,"","563-571",""
"1074",198,"Guinea","Amphimas pterocarpoides","Prin et al","Nodulated tree legumes and their symbiotic Bradyrhizobium in African and South-African tropical rainforests",2008,"Biological Nitrogen Fixation: Towards Poverty Alleviation through Sustainable Agriculture",NA,"","73-75",""
"1075",198,"Guinea","Aubrevillea platycarpa","Prin et al","Nodulated tree legumes and their symbiotic Bradyrhizobium in African and South-African tropical rainforests",2008,"Biological Nitrogen Fixation: Towards Poverty Alleviation through Sustainable Agriculture",NA,"","73-75",""
"1076",198,"Guinea","Chidlowia sanguinea","Prin et al","Nodulated tree legumes and their symbiotic Bradyrhizobium in African and South-African tropical rainforests",2008,"Biological Nitrogen Fixation: Towards Poverty Alleviation through Sustainable Agriculture",NA,"","73-75",""
"1077",198,"Guinea","Tetrapleura tetraptera","Prin et al","Nodulated tree legumes and their symbiotic Bradyrhizobium in African and South-African tropical rainforests",2008,"Biological Nitrogen Fixation: Towards Poverty Alleviation through Sustainable Agriculture",NA,"","73-75",""
"1078",199,"Australia","Acacia mangium","Prin et al","Genetic diversity of nitrogen-fixing rhizobia associated with Acacia mangium in its native area: north Queensland, Australia",1998,"Biological Nitrogen Fixation for the 21st Century",NA,"","675-676",""
"1079",200,"Italy","Spartium junceum","Quatrini et al","Bradyrhizobium sp. nodulating the Mediterranean shrub Spanish broom (Spartium junceum L.)",2002,"Journal of Applied Microbiology",92,"","13-21",""
"1082",201,"Mexico","Lotus oroboides","Qian and Parker","Contrasting nifD and ribosomal gene relationships among Mesorhizobium from Lotus oroboides in Northern Mexico",2002,"Systematic and Applied Microbiology",25,"","68-73",""
"1086",202,"China","Sphaerophysa salsula","Qin et al","Rhizobiu helanshanense sp. nov., a bacterium that nodulates Sphaerophysa salsula (Pall.) DC. In china",2012,"Archives of Microbiology",194,"","371-378",""
"1090",203,"Brazil","Acacia mangium","Perrineau et al","Genetic diversity of symbiotic Bradyrhizobium elkanii populations recovered from inoculation and non-inoculated acacia mangium field trials in Brazil",2011,"Systematic and Applied Microbiology",34,"","376-384",""
"1093",204,"Thailand","Derris elliptica","Pongslip and Nuntagij","Genetic diversity and metabolites production of root-nodule bacteria isolated from medicinal legumes Indigofera tinctoria, Pueraria mirifica, and Derris elliptica Benth. Grown in different geographic origins across Thailand",2009,"American-Eurasian Journal of Agricultural and Environmentla Science",6,"1","26-34",""
"1094",204,"Thailand","Indigofera tinctoria","Pongslip and Nuntagij","Genetic diversity and metabolites production of root-nodule bacteria isolated from medicinal legumes Indigofera tinctoria, Pueraria mirifica, and Derris elliptica Benth. Grown in different geographic origins across Thailand",2009,"American-Eurasian Journal of Agricultural and Environmentla Science",6,"1","26-34",""
"1095",204,"Thailand","Pueraria candollei","Pongslip and Nuntagij","Genetic diversity and metabolites production of root-nodule bacteria isolated from medicinal legumes Indigofera tinctoria, Pueraria mirifica, and Derris elliptica Benth. Grown in different geographic origins across Thailand",2009,"American-Eurasian Journal of Agricultural and Environmentla Science",6,"1","26-34",""
"1096",206,"Venezuela","Centrosema macrocarpum","Ramirez-Bahena et al","Centrosema is a promiscuous legume nodulated by several new putative species and symbiovars of Bradyrhizobium in various American countries",2013,"Systematic and Applied Microbiology",36,"","392-400",""
"1102",207,"Madagascar","Dalbergia baronii","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
"1103",207,"Madagascar","Dalbergia louvelii","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
"1105",207,"Madagascar","Dalbergia madagascariensis","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
"1106",207,"Madagascar","Dalbergia monticola","Rasolomampiania et al","Nitrogen-fixing nodules from rose wood legume trees (Dalbergia spp.) endemic to Madagascar host seven different genera belonging to _- and _-Proteobacteria",2005,"Molecular Ecology",14,"","4135-4146",""
